G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,Lsolu_Hsolv,Lsolv_Hsolu
-23241.4801,102.8506,238.349,0.080924,0,-0.6106,-0.07659,0.07273,0,192.2598,395.0820618,11.089,13.46
-19904.8627,92.0369,143.647,3.48465,0,0.64414,-0.35193,0.2314,-1.13785,132.1244,281.3888855,10.794,15.616
-20117.9443,-4.9702,149.377,1.78339,-0.71879,-0.01754,-0.39089,0.23071,-0.71879,124.139,297.1837769,12.244,14.866
-24234.3912,93.6628,292.069,0.00245331,0,-0.81316,-0.06529,0.06879,0,252.3148,442.4205322,10.868,13.299
-28903.9558,147.6344,350.264,10.1002,-1.18682,0.86355,-0.47725,0.46934,-2.20265,317.3191,527.6193237,11.258,14.46
-26799.4535,76.0395,293.868,10.3953,-1.16541,0.36161,-0.45396,0.55743,-1.38963,260.2518,472.7465515,10.82,15.068
-31866.6735,-210.4858,372.206,7.65681,-0.76672,-0.06078,-0.59284,0.87951,-0.63097,412.0646,541.399231,10.143,14.846
-25317.4015,102.261,241.129,2.84441,-0.81273,0.56075,-0.49501,0.50738,-1.23773,213.6633,431.9839172,12.007,14.758
-21573.0399,15.132,192.121,0.049371,0,-0.47185,-0.09389,0.0692,0,154.211,347.111145,11.657,14.031
-25953.3181,-456.9755,282.881,3.71476,-0.85424,0.38124,-0.4815,0.50257,-1.59851,252.272,458.2911377,12.096,15.052
-20264.1002,-34.8556,175.715,0.0129328,0,-0.35827,-0.08146,0.06486,0,132.2048,328.6447144,12.393,14.886
-24977.9579,96.766,265.084,4.15452,-0.45915,-0.07452,-0.45915,0.36318,-0.78242,223.2738,450.1101379,11.684,14.054
-31270.1693,-608.2206,365.835,3.38716,-3.84738,1.70071,-0.3767,0.23373,-3.84738,342.2992,493.2972412,14.751,16.169
-17129.2558,-39.8266,97.6588,2.63574,0,0.28225,-0.35586,0.18904,-0.71064,80.089,226.633606,12.06,15.834
-29460.233,-307.3351,409.104,4.30644,-1.06344,0.20182,-0.37076,0.297,-1.06344,330.4662,532.7588501,12.068,15.457
-28378.3731,29.3535,360.802,0.000465223,0,-0.22576,-0.0313,0.02766,0,226.4446,625.7022705,15.522,16.579
-23566.047,-11.8046,212.839,5.32529,0,0.32761,-0.22529,0.29708,-0.6313,230.9084,357.5361938,11.047,15.763
-30132.5572,-281.3996,372.577,9.94113,-1.26851,0.30167,-0.42756,0.4581,-1.39369,342.7781,561.8047485,11.271,14.673
-27135.1596,-7.1739,341.431,2.3999,-0.27974,0.05268,-0.27974,0.11756,-0.67877,380.9126,449.0848389,11.105,16.331
-26180.1369,30.2122,277.411,2.36537,-0.44342,0.43773,-0.44342,0.29168,-0.80958,215.353,442.8586121,13.1,15.521
-24328.5811,-263.6322,195.122,8.13776,-1.50494,0.45713,-0.44018,0.52607,-1.03885,201.5659,347.6925964,10.612,15.822
-22037.2882,-266.4271,165.285,2.89214,-0.7557,0.62354,-0.37996,0.26137,-0.7557,118.1754,344.4158325,15.112,16.761
-17486.2895,-22.3779,88.2046,3.11434,-0.7568,0.49839,-0.43902,0.38089,-1.10803,75.067,221.2525482,13.142,15.983
-18429.484,-12.4364,118.125,1.81694,-0.38075,0.18551,-0.38075,0.15658,-0.38075,86.1334,258.708252,15.329,16.353
-28271.3473,50.936,292.477,4.48474,-0.38767,0.26918,-0.19414,0.11581,-0.59947,321.9744,448.1057434,10.964,14.379
-24715.5703,112.5944,216.013,0.0051142,-1.5074,1.12579,-0.43385,0.38323,-1.5074,174.1962,403.8544312,13.038,17.134
-16750.8523,-46.2186,77.2092,4.49247,-0.49439,0.3755,-0.49439,0.3628,-0.86723,59.0676,209.3953094,13.575,16.173
-22154.9495,-14.4603,188.762,2.20626,0,-0.43029,-0.07432,0.07637,-0.07432,207.0693,336.5732727,11.484,14.261
-26995.5921,198.872,292.564,4.53619,-1.65241,1.40578,-0.47161,0.4367,-2.43817,250.2536,467.513855,11.709,15.21
-28966.3916,-506.8286,287.738,12.2943,-3.08973,0.44045,-0.77861,1.90816,-1.72519,331.2841,453.0450439,10.297,15.263
